Bracelet Text,Theme,Era/Album,Number of Beads,Notes,Completed?
In My Eras Era,Tour,Eras Tour,11,Taylor quote,FALSE
13 Braincells,Meme,Eras Tour,12,Taylor quote,FALSE
Eras Tour,Tour,Eras Tour,8,Tour name,FALSE
My First Concert,Tour,Eras Tour,14,Good gift for first-time concert goers ,FALSE
R Stoned Swifties,Social Media,Other,15,/r/stonedswifties rise up,FALSE
R Taylor Swift,Social Media,Other,12,Say 'hello' to /r/TaylorSwift,FALSE
1 2 3 Lets Go Bitch,Tour,Eras Tour,14,Tour fan chant,FALSE
No Its Becky,Meme,Other,10,Tumblr meme,FALSE
Taylor Swift,N/A,Other,11,It's her,FALSE
Directed By,N/A,Other,10,A nod to Taylor's success ,FALSE
Written By,N/A,Other,9,A nod to Taylor's success ,FALSE
Produced By,N/A,Other,10,A nod to Taylor's success ,FALSE
My Mind Is Alive,Meme,Other,13,A reference to her post-surgery video on Fallon,FALSE
13,Other,Other,2,Taylor's favorite number,FALSE
Our Song,Song Title,Debut,7,,FALSE
Cold As You,Song Title,Debut,9,,FALSE
A Place In This World,Song Title,Debut,17,,FALSE
Picture to Burn,Song Title,Debut,13,,FALSE
Oh My My My,Song Title,Debut,8,,FALSE
Stay Beautiful,Song Title,Debut,13,,FALSE
Invisible,Song Title,Debut,9,,FALSE
Tied Together,Song Title,Debut,12,Add a smile emoji bead if you have one!,FALSE
Tim McGraw,Song Title,Debut,9,,FALSE
Georgia Stars,Lyrics,Debut,12,,FALSE
My Favorite Song,Lyrics,Debut,14,,FALSE
Old Pickup Truck,Lyrics,Debut,14,,FALSE
Just a Girl,Lyrics,Debut,9,,FALSE
I'll Be Strong,Lyrics,Debut,12,,FALSE
Just So Funny,Lyrics,Debut,11,,FALSE
On a Wishin Star,Lyrics,Debut,13,,FALSE
Teardrops on my Guitar,Song Title,Debut,19,,FALSE
State the Obvious,Lyrics,Debut,15,,FALSE
TS - Debut,Album Title,Debut,8,Added TS to my version of this one for extra context,FALSE
Fearless,Album Title,Fearless,8,,FALSE
Speak Now,Album Title,Speak Now,8,,FALSE
Red,Album Title,Red,3,,FALSE
1989,Album Title,1989,4,,FALSE
Reputation,Album Title,Reputation,10,,FALSE
Lover,Album Title,Lover,5,,FALSE
Folklore,Album Title,Folklore,8,,FALSE
Evermore,Album Title,Evermore,8,,FALSE
Midnights,Album Title,Midnights,9,,FALSE
I Heart ? ,Song Title,Beautiful Eyes EP,7,,FALSE
Beautiful Eyes,Song Title,Beautiful Eyes EP,13,,FALSE
Love Story,Song Title,Fearless,9,,FALSE
Jump Then Fall,Song Title,Fearless,12,,FALSE
Hey Stephen,Song Title,Fearless,10,,FALSE
YBWM,Song Title,Fearless,4,,FALSE
The Best Day,Song Title,Fearless,10,,FALSE
White Horse,Song Title,Fearless,10,,FALSE
Fifteen,Song Title,Fearless,7,,FALSE
Breathe,Song Title,Fearless,7,,FALSE
The Way I Loved You,Song Title,Fearless,15,,FALSE
Forever and Always,Song Title,Fearless,16,,FALSE
Superstar,Song Title,Fearless,9,,FALSE
Mr Perfectly Fine,Song Title,Fearless,15,,FALSE
Just Say Yes,Lyrics,Fearless,10,,FALSE
Kissin in the Rain,Lyrics,Fearless,15,,FALSE
Cheer Captain,Lyrics,Fearless,12,,FALSE
On the Bleachers,Lyrics,Fearless,14,,FALSE
With You I'd Dance,Lyrics,Fearless,15,,FALSE
Headfirst (Fearless),Lyrics,Fearless,19,Can be paired w/ a Fearless bracelet or put both words on 1 bracelet,FALSE
Capture It,Lyrics,Fearless,9,,FALSE
Remember It,Lyrics,Fearless,10,,FALSE
In my best dress,Lyrics,Fearless,13,,FALSE
Close Your Eyes,Lyrics,Fearless,13,,FALSE
Marry Me Juliet,Lyrics,Fearless,13,Pass this one to someone proposing,FALSE
Feel This Magic,Lyrics,Fearless,13,,FALSE
Back up Baby,Lyrics,Fearless,10,,FALSE
Once Upon a Time,Lyrics,Fearless,13,,FALSE
Ms Misery,Lyrics,Fearless,8,,FALSE
U Are The Best Thing,Lyrics,Speak Now,16,,FALSE
Mine,Song Title,Speak Now,4,,FALSE
Better Than Revenge,Song Title,Speak Now,17,,FALSE
Enchanted,Song Title,Speak Now,9,,FALSE
Ours,Song Title,Speak Now,4,,FALSE
Back to December,Song Title,Speak Now,14,,FALSE
Dear John,Song Title,Speak Now,8,,FALSE
Story of Us,Song Title,Speak Now,9,,FALSE
Never Grow Up,Song Title,Speak Now,11,,FALSE
Innocent,Song Title,Speak Now,8,,FALSE
Haunted,Song Title,Speak Now,7,,FALSE
Last Kiss,Song Title,Speak Now,8,,FALSE
Long Live,Song Title,Speak Now,8,,FALSE
Sparks Fly,Song Title,Speak Now,9,,FALSE
Next Chaper,Lyrics,Speak Now,10,,FALSE
I Hope They Shine,Lyrics,Speak Now,14,,FALSE
Remember this Feelin,Lyrics,Speak Now,18,,FALSE
